Post,Comment,Sentiment,Intent,Similarity,Cluster_KMeans
post_01,comment_01,-1,Inquiry,0.7477067708969116,5
post_02,comment_01,0,Criticism,0.2763558030128479,1
post_02,comment_02,-1,Statement,0.2261649370193481,3
post_03,comment_01,-1,Statement,0.3041141629219055,3
post_03,comment_02,0,Criticism,0.5554186105728149,1
post_04,comment_01,-1,Inquiry,0.2487640380859375,5
post_05,comment_01,-1,Statement,0.1847326308488845,3
post_05,comment_02,-1,Inquiry,0.2066366225481033,5
post_05,comment_03,1,Appreciation,0.2524944841861725,2
post_06,comment_01,-1,Statement,0.333337128162384,1
post_06,comment_02,-1,Criticism,0.2505624294281006,1
post_06,comment_03,0,Statement,0.0493868626654148,3
post_06,comment_04,-1,Criticism,0.0634679347276687,1
post_06,comment_05,0,Forward,0.2698250412940979,4
post_06,comment_06,0,Inquiry,0.4373765587806701,5
post_07,comment_01,-1,Criticism,0.2815842628479004,1
post_08,comment_01,-1,Inquiry,0.3479452133178711,5
post_08,comment_02,0,Statement,0.7574950456619263,0
post_08,comment_03,0,Inquiry,0.1870439052581787,5
post_09,comment_01,-1,Statement,0.3140663802623749,3
post_09,comment_02,1,Statement,0.1734155416488647,0
post_09,comment_03,0,Criticism,0.5794966220855713,1
post_09,comment_04,0,Inquiry,0.1224552169442176,5
post_10,comment_01,0,Inquiry,0.1218850463628768,5
post_11,comment_01,0,Criticism,0.4225257635116577,1
post_11,comment_02,1,Criticism,0.5040645003318787,0
post_11,comment_03,1,Appreciation,0.3237991034984588,2
post_11,comment_04,1,Statement,0.0821754485368728,0
post_11,comment_05,0,Criticism,0.2652056515216827,1
post_11,comment_06,0,Forward,0.1442851424217224,4
post_11,comment_07,0,Criticism,0.2867525517940521,1
post_11,comment_08,1,Criticism,0.3195114731788635,0
post_11,comment_09,0,Statement,0.1379401981830597,3
post_11,comment_10,0,Criticism,0.2843672633171081,1
post_11,comment_11,0,Statement,0.2709852159023285,3
post_11,comment_12,0,Forward,0.2115692794322967,4
post_11,comment_13,-1,Criticism,0.2604881227016449,1
